"year","week_ending","state_name","country_code","location_desc","begin_code","zip_5","county_ansi","state_alpha","util_practice_desc","domain_desc","asd_desc","freq_desc","prodn_practice_desc","end_code","sector_desc","short_desc","country_name","Value","reference_period_desc","CV (%)","class_desc","asd_code","agg_level_desc","county_name","region_desc","watershed_desc","state_ansi","congr_district_code","domaincat_desc","state_fips_code","group_desc","watershed_code","unit_desc","source_desc","load_time","county_code","statisticcat_desc","commodity_desc","avg_emerg","avg_harv"
"2002","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,140","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",20,39
"2003","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","7,700","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",22,40
"2004","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,600","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",21,39
"2005","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","7,380","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",21,39
"2006","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","7,660","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",23,40
"2007","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,200","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2012-01-01 00:00:00","","YIELD","RICE",20,39
"2008","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,320","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2014-11-03 16:18:55","","YIELD","RICE",20,40
"2009","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,600","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2014-11-03 16:18:55","","YIELD","RICE",21,39
"2010","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,020","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2014-11-03 16:18:55","","YIELD","RICE",22,42
"2011","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,350","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2014-11-03 16:18:55","","YIELD","RICE",21,42
"2012","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,150","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2015-06-04 15:00:29","","YIELD","RICE",21,42
"2013","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,480","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2015-03-05 15:05:34","","YIELD","RICE",20,41
"2014","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,580","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2016-01-12 13:18:01","","YIELD","RICE",21,41
"2015","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,890","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2017-01-12 12:05:05","","YIELD","RICE",20,40
"2016","","CALIFORNIA","9000","CALIFORNIA","00","","","CA","ALL UTILIZATION PRACTICES","TOTAL","","ANNUAL","ALL PRODUCTION PRACTICES","00","CROPS","RICE - YIELD, MEASURED IN LB / ACRE","UNITED STATES","8,840","YEAR","","ALL CLASSES","","STATE","","","","06","","NOT SPECIFIED","06","FIELD CROPS","00000000","LB / ACRE","SURVEY","2017-01-12 12:05:05","","YIELD","RICE",21,40
